People - toopicc
Work and business
Travel
Politics and society
Homes and buildings
The natural world
Food and drink
Sport

People - toopicc
Education - topicc


daughter-in-law    								<--->  noun+B1    
decree absolute    								<--->  noun+C2    
descendant    								<--->  noun+C1    
descent    								<--->  noun+C2    
devoted    								<--->  adjective+C1    
devotion    								<--->  noun+C1    
didi    								<--->  noun+C2    
disown    								<--->  verb+C2    
dissolution    								<--->  noun+C2    
dissolve    								<--->  verb+C2    
distant    								<--->  adjective+C1    
divorce    								<--->  noun+B2    
divorce    								<--->  verb+B2    
divorced    								<--->  adjective+A2    
divorcee    								<--->  noun+C2    
divorcé    								<--->  noun+C2    
divorcée    								<--->  noun+C2    
double-barrelled    								<--->  adjective+C2    
dual heritage    								<--->  noun+C2    
dump    								<--->  verb+C1    
dynasty    								<--->  noun+C1    
elder    								<--->  adjective+C1    
eldest    								<--->  adjective+B2    
embrace    								<--->  verb+B2    
estranged    								<--->  adjective+C2    
ex    								<--->  noun+C1    
ex-prefixC1    
extended family    								<--->  noun+C1    
extraction    								<--->  noun+C2    
fall in with    								<--->  phrasal verb+C2
fam    								<--->  noun+C2    
family    								<--->  noun+A1    
family name    								<--->  noun+A2    
family tree    								<--->  noun+B1    
fancy    								<--->  verb+B1    
father    								<--->  noun+A1    
father-in-law    								<--->  noun+B1    
fellowship    								<--->  noun+C2    
first base    								<--->  noun+C2    
first cousin    								<--->  noun+A1    
first name    								<--->  noun+A2    
fling    								<--->  noun+C2    
flirt    								<--->  verb+C1    
flirt    								<--->  noun+C1    
flirtation    								<--->  noun+C2    
forebear    								<--->  noun+C2    
forefather    								<--->  noun+C2    
forename    								<--->  noun+C2    
foster    								<--->  verb+C1    
fraternity    								<--->  noun+C2    
friend    								<--->  noun+A1    
friendship    								<--->  noun+B1    
gang    								<--->  noun+B2    
genealogical    								<--->  adjective+C2    
genealogy    								<--->  noun+C2    
generation    								<--->  noun+B1    
get off with    								<--->  phrasal verb+C2
get on    								<--->  phrasal verb+B1
get on like a house on fire    								<--->  idiom+C2
get on with    								<--->  phrasal verb+B1
GF    								<--->  abbreviation+C2    
girlfriend    								<--->  noun+A1    
given name    								<--->  noun+C1    
godchild    								<--->  noun+C2    
god-daughter    								<--->  noun+C2    
godfather    								<--->  noun+C2    
godmother    								<--->  noun+C2    
godparent    								<--->  noun+C2    
godson    								<--->  noun+C2    
gramps    								<--->  noun+C2    
gran    								<--->  noun+B2    
grandad    								<--->  noun+A1    
grandchild    								<--->  noun+A1    
granddaughter    								<--->  noun+A1    
grandfather    								<--->  noun+A1    
grandkid    								<--->  noun+B2    
grandma    								<--->  noun+A1    
grandmother    								<--->  noun+A1    
grandpa    								<--->  noun+A1    
grandparent    								<--->  noun+A1    
grandson    								<--->  noun+A1    
granny    								<--->  noun+A2    
great    								<--->  adjective+C2    
half-brother    								<--->  noun+C1    
half-sister    								<--->  noun+C1    
harmonious    								<--->  adjective+C2    
heir    								<--->  noun+C1    
heiress    								<--->  noun+C1    
heirloom    								<--->  noun+C2    
heritage    								<--->  noun+C1    
hit it off (with somebody)    								<--->  idiom+C1
home    								<--->  noun+A2    
homeboy    								<--->  noun+C2    
homegirl    								<--->  noun+C2    
hook up with    								<--->  phrasal verb+C2
hospitable    								<--->  adjective+C1    
hospitality    								<--->  noun+C1    
hug    								<--->  verb+B2    
hug    								<--->  noun+B2    
husband    								<--->  noun+A1    
identical    								<--->  adjective+B2    
identical twin    								<--->  noun+B2    
illegitimate    								<--->  adjective+C2    
infatuated    								<--->  adjective+C2    
infatuation    								<--->  noun+C2    
inherit    								<--->  verb+B2    
inheritance    								<--->  noun+C1    
in-laws    								<--->  noun+B2    
intimacy    								<--->  noun+C2    
intimate    								<--->  adjective+C1    
intimate    								<--->  noun+C2    
jamai    								<--->  noun+C2    
joint family    								<--->  noun+C2    
junior    								<--->  adjective+C1    
kid    								<--->  adjective+C1    
kin    								<--->  noun+C2    
kinship    								<--->  noun+C2    
kiss    								<--->  verb+B1    
kiss    								<--->  noun+B1    
kith and kin    								<--->  idiom+C2
last name    								<--->  noun+A2    
lead on    								<--->  phrasal verb+C2
leave    								<--->  verb+A1    
legitimate    								<--->  adjective+C2    
liaison    								<--->  noun+C2    
lineal    								<--->  adjective+C2    
lone-parent family    								<--->  noun+C2    
love    								<--->  noun+A1    
love affair    								<--->  noun+B2    
lovebird    								<--->  noun+C2    
love-hate relationship    								<--->  noun+C2    
love letter    								<--->  noun+B1    
love life    								<--->  noun+B1    
lovelorn    								<--->  adjective+C2    
love match    								<--->  noun+C2    
love nest    								<--->  noun+C2    
lover    								<--->  noun+B1    
lovesick    								<--->  adjective+C2    
love triangle    								<--->  noun+C2    
lovey-dovey    								<--->  adjective+C2    
lust    								<--->  noun+C2    
ma    								<--->  noun+C2    
maa    								<--->  noun+C2    
maasi    								<--->  noun+C2    
maiden name    								<--->  noun+C1    
main man    								<--->  noun+C2    
make out    								<--->  phrasal verb+C2
mama    								<--->  noun+C2    
mama    								<--->  noun+C2    
mami    								<--->  noun+C2    
masa    								<--->  noun+C2    
matchmaker    								<--->  noun+C2    
mate    								<--->  noun+B2    
maternal    								<--->  adjective+C2    
matriarch    								<--->  noun+C2    
matrilineal    								<--->  adjective+C2    
meetup    								<--->  noun+C2    
middle name    								<--->  noun+B1    
mistress    								<--->  noun+C2    
mixed    								<--->  adjective+B2    
mixed-race    								<--->  adjective+C1    
mom    								<--->  noun+A1    
momma    								<--->  noun+A2    
mommy    								<--->  noun+A2    
monozygotic twin    								<--->  noun+C2    
mother    								<--->  noun+A1    
mother-in-law    								<--->  noun+B1    
multiracial    								<--->  adjective+C2    
mum    								<--->  noun+A1    
mummy    								<--->  noun+A2    
name    								<--->  noun+A1    
nan    								<--->  noun+C2    
nana    								<--->  noun+C2    
nanny    								<--->  noun+C2    
